task_uuid,source_file_name,car_file_url,car_file_size,miner,deal_uuid,start_epoch,piece_cid,payload_cid
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f02301,bafyreiap65zypy4546ubpzuwbl7wzzacmcbnw3av3usktzuk56yqhdlrja,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmP3jeMp6xZgoxoiVxN1WogdrTQa8tPV43KX37HjgwYhYg,34091302912,f0143858,bafyreibst4nzidvtiw67ltigzmgn4ntzjbcasdbygckwr7hku2jvstbe3y,2852593,baga6ea4seaqhdu33fxsbaemlw5fplzucyzuqvytwrhpfaclwi55cqrneltoymga,QmTxzr7jeq6ryvzEXiMDP4Fsi8wem3hf4uVwdi2j1a5vtU
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f0137168,bafyreifzdzlkfzb7g5wuv2rwnrs3npbrcklicieyt2g4pf7c2irolxlmny,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f01222595,bafyreicce3ismg3zfrarpiua4uc3p567u7iwozqcafeigwbkvkq32k6p4i,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f01225882,bafyreidkxrxryg5jl3rmhve3u3ncuhxvbm7hyizdszpi3yuwsolmozlw3q,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f01163272,bafyreiafx4tw3gfuqceqsweemrtwbbb4itearwzm3kxwluowzzy2nckt3y,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f010088,bafyreic6sbdza5pvqbzvretrrpkd5afkp2swyes6bfdvbyp3pgqfbm2tw4,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f0240185,bafyreie3qtcqfvwmhrt4fapytyt3nbbppvolkjubfxin5olo6z3m7cs35e,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f03223,bafyreibpz2qtr253luqywc3fj6jbbcaja3cbfbjwuqzf5ms55a755cprne,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f0717969,bafyreidbrg3tfff5zp33szqqypmdudscjtpbracwr6dbk4ezp7ue2gcrd4,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f0143858,bafyreigixs7tfag4kgnpfgakxfs2bjsyrqnyfmbhknhspb6h5b5smczoem,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f01398391,bafyreicn4nxetslxyvy6i2wwsxclobunmztvueipwkamjpgvh6b3djedma,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f01691327,bafyreiabavwdar5lmt4qo2bgshsvxwbd5ivd2d6zrlxysk62l4c4iglna4,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f01888808,bafyreig6jhgij2cuk2nqspppxulfwffnbxffhq6dtendf3zrtoyjzllad4,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f08399,bafyreibe3mrgfmpdslwqjwjfyzg2doj36mbtjgk5uigxbynhv62tuijpom,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f01907556,NULL,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmSb8uYewEkoVM5QbPvKSZ5fJBAqT1W1SJjPwNGkRmXXWV,34091302912,f01390330,NULL,2852593,baga6ea4seaqcc374ep2r4blx7nwnznhu7wzuje36k4daasci5wy7a5m6rp2m2iq,QmebQYk3L27ZrdPxHRwveKW5tz3HiXxDzUadQqma97ZGgu
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmTz7Hm2rSGSBX3ebD1LpzhhVRzeR4iabc8TgifJvDtjn2,34091302912,f0137168,bafyreidpv7xuzutqu2hoieomtomy5kia2ip6fx3dknw4j6m52i2para7zq,2852593,baga6ea4seaqbdrzhmes4by7mqj27435glbxvtu43kn7dazqefq7rhegi2f66ucy,QmX2KTwRvycuBSpg2GUaGYnCzb6qehJvkceUBdBc5pVEo5
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmTz7Hm2rSGSBX3ebD1LpzhhVRzeR4iabc8TgifJvDtjn2,34091302912,f02301,bafyreihybuy4ci3p3yy7dzlmguudxaip7gouf6j3uh2dhwviotce4ofqcy,2852593,baga6ea4seaqbdrzhmes4by7mqj27435glbxvtu43kn7dazqefq7rhegi2f66ucy,QmX2KTwRvycuBSpg2GUaGYnCzb6qehJvkceUBdBc5pVEo5
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmTz7Hm2rSGSBX3ebD1LpzhhVRzeR4iabc8TgifJvDtjn2,34091302912,f08399,bafyreiesorvclf36ll3ow65u2r53usqzv7o6rs2pow2jv54n5kfvgdmyz4,2852593,baga6ea4seaqbdrzhmes4by7mqj27435glbxvtu43kn7dazqefq7rhegi2f66ucy,QmX2KTwRvycuBSpg2GUaGYnCzb6qehJvkceUBdBc5pVEo5
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmTz7Hm2rSGSBX3ebD1LpzhhVRzeR4iabc8TgifJvDtjn2,34091302912,f010088,NULL,2852593,baga6ea4seaqbdrzhmes4by7mqj27435glbxvtu43kn7dazqefq7rhegi2f66ucy,QmX2KTwRvycuBSpg2GUaGYnCzb6qehJvkceUBdBc5pVEo5
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmTz7Hm2rSGSBX3ebD1LpzhhVRzeR4iabc8TgifJvDtjn2,34091302912,f0717969,bafyreifqyoc6urge3pfd7f52cjj6e7w6rx7yjlzagrhictxhehuprmdtoy,2852593,baga6ea4seaqbdrzhmes4by7mqj27435glbxvtu43kn7dazqefq7rhegi2f66ucy,QmX2KTwRvycuBSpg2GUaGYnCzb6qehJvkceUBdBc5pVEo5
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmTz7Hm2rSGSBX3ebD1LpzhhVRzeR4iabc8TgifJvDtjn2,34091302912,f0240185,bafyreibm46lpikru4si7d5jxl5bxtupse4ptigtoux4yyvtwshsiopoo5a,2852593,baga6ea4seaqbdrzhmes4by7mqj27435glbxvtu43kn7dazqefq7rhegi2f66ucy,QmX2KTwRvycuBSpg2GUaGYnCzb6qehJvkceUBdBc5pVEo5
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmTz7Hm2rSGSBX3ebD1LpzhhVRzeR4iabc8TgifJvDtjn2,34091302912,f0466405,bafyreigppvhkhe6scy2qgepm4nlelfi2h5fdzowgpbyjlomogxegmuocwi,2852593,baga6ea4seaqbdrzhmes4by7mqj27435glbxvtu43kn7dazqefq7rhegi2f66ucy,QmX2KTwRvycuBSpg2GUaGYnCzb6qehJvkceUBdBc5pVEo5
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmTz7Hm2rSGSBX3ebD1LpzhhVRzeR4iabc8TgifJvDtjn2,34091302912,f01337533,bafyreih5h6uc5cnme2iqviy7gtvoe5jnimlu45olzo5qwk5vaac3vidgzi,2852593,baga6ea4seaqbdrzhmes4by7mqj27435glbxvtu43kn7dazqefq7rhegi2f66ucy,QmX2KTwRvycuBSpg2GUaGYnCzb6qehJvkceUBdBc5pVEo5
dadabc4c-c140-4842-bce5-d040d4e2fd0c,20230504,http://download.storefrontiers.cn/ipfs/QmTz7Hm2rSGSBX3ebD1LpzhhVRzeR4iabc8TgifJvDtjn2,34091302912,f01888808,bafyreigaqhmwirgeprvcn3s5dnzqtgw7lljdgmnmw2ua7cxkt6ar47sjje,2852593,baga6ea4seaqbdrzhmes4by7mqj27435glbxvtu43kn7dazqefq7rhegi2f66ucy,QmX2KTwRvycuBSpg2GUaGYnCzb6qehJvkceUBdBc5pVEo5
